DATE,sp500,ret_1m,ret_1m_next,firstdiff_1m,vol_3m,vol_6m,ret_1m_z,ret_1m_next_z,vol_3m_z,vol_6m_z,ret_high_negative,ret_negative,ret_flat,ret_positive,ret_high_positive,ret_regime,category_sum
2016-10-31,2126.15,-0.01942562503747225,0.03417444676998316,-42.11999999999989,0.01050708253213695,0.018625664142750936,-0.6757924158124061,0.52512748585178,-1.0467399584047188,-1.0807329777784762,0,1,0,0,0,-1.0,1
2016-11-30,2198.81,0.03417444676998316,0.018200754044233047,72.65999999999985,0.02725704080314473,0.02200023206602048,0.52512748585178,0.16723383290421984,-0.4373726058158236,-0.9211279541646635,0,0,0,1,0,1.0,1
2016-12-31,2238.83,0.018200754044233047,0.017884341374735824,40.01999999999998,0.027519299167012626,0.021996618219985303,0.16723383290421984,0.1601445462834311,-0.4278315859339359,-0.9212988761893185,0,0,0,1,0,1.0,1
2017-01-31,2278.87,0.017884341374735824,0.037198260541408734,40.039999999999964,0.009315099838992333,0.019022444255805192,0.1601445462834311,0.5928766140633231,-1.090104564232457,-1.061966693989422,0,0,0,1,0,1.0,1
2017-02-28,2363.64,0.037198260541408734,-0.00038923017041514463,84.76999999999998,0.011060687468571058,0.021568307258571416,0.5928766140633231,-0.2492783332583787,-1.0265996828866055,-0.9415564566158773,0,0,0,1,0,1.0,1
2017-03-31,2362.72,-0.00038923017041514463,0.00909121690255299,-0.9200000000000728,0.018796144766963854,0.021447669088637822,-0.2492783332583787,-0.036867096058920294,-0.7451819588111379,-0.9472622116632741,0,0,1,0,0,0.0,1
2017-04-30,2384.2,0.00909121690255299,0.011576210049492719,21.480000000000018,0.019547822712650726,0.014399116573090065,-0.036867096058920294,0.018809652591329516,-0.7178357414444059,-1.2806335991318145,0,0,0,1,0,1.0,1
2017-05-31,2411.8,0.011576210049492719,0.004813831992702466,27.600000000000364,0.006314346459978789,0.012591087114162567,0.018809652591329516,-0.13270272635005492,-1.199272665594637,-1.366146942187302,0,0,0,1,0,1.0,1
2017-06-30,2423.41,0.004813831992702466,0.019348768883515444,11.609999999999673,0.003420549897075917,0.013207687370979356,-0.13270272635005492,0.1929553258315535,-1.3045496532704322,-1.3369839498317722,0,0,0,1,0,0.0,1
2017-07-31,2470.3,0.019348768883515444,0.0005464923288669432,46.89000000000033,0.007273316738041212,0.013321007092529001,0.1929553258315535,-0.22831329097523556,-1.164385105273618,-1.3316243312835347,0,0,0,1,0,1.0,1
2017-08-31,2471.65,0.0005464923288669432,0.019302894827342154,1.349999999999909,0.00985731692588428,0.007447784595531358,-0.22831329097523556,0.19192750879379908,-1.0703785813122662,-1.6094068019988563,0,0,1,0,0,0.0,1
2017-09-30,2519.36,0.019302894827342154,0.022188174774546043,47.710000000000036,0.010842280992725696,0.007614056935689068,0.19192750879379908,0.2565727600710144,-1.034545360948653,-1.6015427135049778,0,0,0,1,0,1.0,1
2017-10-31,2575.26,0.022188174774546043,0.028082601368405458,55.90000000000009,0.011750814823791034,0.008815644595381382,0.2565727600710144,0.38863851981277303,-1.0014926902245713,-1.5447119040028694,0,0,0,1,0,1.0,1
2017-11-30,2647.58,0.028082601368405458,0.009831619818853499,72.31999999999971,0.004474973969967635,0.01067572855618608,0.38863851981277303,-0.02027822653968568,-1.2661894618354377,-1.4567365687189764,0,0,0,1,0,1.0,1
2017-12-31,2673.61,0.009831619818853499,0.056178724645703726,26.0300000000002,0.009314209957242185,0.009812750239278172,-0.02027822653968568,1.0181375571372848,-1.090136938336167,-1.4975523643349216,0,0,0,1,0,1.0,1
2018-01-31,2823.81,0.056178724645703726,-0.038947379604151844,150.19999999999982,0.023347178975079177,0.019068151435150595,1.0181375571372848,-1.1131810756400655,-0.5796142826372271,-1.059804907471972,0,0,0,0,1,2.0,1
2018-02-28,2713.83,-0.038947379604151844,-0.026884513768364315,-109.98000000000002,0.047568232782490096,0.031198454063694633,-1.1131810756400655,-0.8429102501579391,0.3015532520355112,-0.4860848693831656,0,1,0,0,0,-1.0,1
